Temperature,Humidity,HeartRate,AccelX,AccelY,AccelZ,HealthStatus
32.3,31.0,80.0,-0.45,-0.09,-0.99,1
32.3,31.0,80.0,-0.46,-0.09,-0.99,1
32.3,31.0,80.0,-0.66,0.02,-0.84,1
32.3,31.0,80.0,-0.78,0.12,-0.7,0
32.3,31.0,80.0,-0.49,-0.06,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.98,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.98,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.48,-0.07,-0.97,1
32.3,31.0,80.0,-0.5,-0.07,-0.97,1
32.3,31.0,80.0,-0.49,-0.07,-0.97,1
32.3,31.0,80.0,-0.42,-0.03,-1.01,1
32.3,31.0,80.0,-0.42,-0.02,-1.0,1
32.3,31.0,80.0,-0.58,-0.03,-1.05,1
32.3,31.0,80.0,-0.9,0.43,-0.26,0
32.3,31.0,80.0,-0.88,0.37,-0.43,0
32.3,31.0,80.0,-0.77,-0.43,-0.62,0
32.3,31.0,80.0,-0.93,0.0,-0.63,1
32.3,31.0,80.0,-0.66,-0.39,-0.75,1
32.3,31.0,80.0,-0.76,-0.43,-0.59,0
32.3,31.0,80.0,-0.7,-0.34,-0.73,0
32.3,31.0,80.0,-0.69,-0.38,-0.73,1
32.3,31.0,80.0,-0.68,-0.38,-0.74,1
32.3,31.0,80.0,-0.76,-0.42,-0.58,0
32.3,31.0,80.0,-0.39,-0.14,-1.01,1
32.3,31.0,80.0,-0.38,-0.14,-1.01,1
32.3,31.0,80.0,-0.0,-0.07,0.75,1
32.3,31.0,80.0,0.08,-0.26,0.85,1
32.3,31.0,80.0,0.07,-0.23,0.85,1
32.3,31.0,80.0,-0.94,-0.35,-0.14,0
32.3,31.0,80.0,-0.95,-0.34,-0.16,0
32.3,31.0,80.0,-0.95,-0.33,-0.16,0
32.3,31.0,80.0,-0.95,-0.34,-0.16,0
32.3,31.0,80.0,-0.96,-0.32,-0.17,0
32.3,31.0,80.0,-0.96,-0.32,-0.15,0
32.3,31.0,80.0,-0.96,-0.33,-0.14,0
32.3,31.0,80.0,-0.95,-0.33,-0.13,0
32.3,31.0,80.0,-0.94,-0.33,-0.14,0
32.3,31.0,80.0,-0.94,-0.33,-0.12,0
32.3,31.0,80.0,-0.96,-0.33,-0.13,0
32.3,31.0,80.0,-0.96,-0.33,-0.13,0
32.3,31.0,80.0,-0.96,-0.32,-0.14,0
32.3,31.0,80.0,-0.97,-0.33,-0.15,0
32.3,31.0,80.0,-0.98,-0.32,-0.13,0
32.3,31.0,80.0,-0.96,-0.3,-0.19,0
32.3,31.0,80.0,-0.98,-0.31,-0.23,0
32.3,31.0,80.0,-0.98,-0.28,-0.23,0
32.3,31.0,80.0,-0.96,-0.25,-0.25,0
32.3,31.0,80.0,-0.98,-0.25,-0.25,0
32.3,31.0,80.0,-0.64,-0.13,-0.85,1
32.3,31.0,80.0,-0.63,-0.15,-0.87,1
32.3,31.0,80.0,-0.62,-0.16,-0.88,1
32.3,31.0,80.0,-0.61,-0.16,-0.88,1
32.3,31.0,80.0,-0.61,-0.16,-0.88,1
32.3,31.0,80.0,-0.6,-0.16,-0.89,1
32.3,31.0,80.0,-0.6,-0.16,-0.89,1
32.3,31.0,80.0,-0.6,-0.16,-0.89,0
32.3,31.0,80.0,-0.58,-0.16,-0.89,1
32.3,31.0,80.0,-0.58,-0.16,-0.89,1
32.3,31.0,80.0,-0.58,-0.16,-0.89,1
32.3,31.0,80.0,-0.59,-0.16,-0.89,1
32.3,31.0,80.0,-0.59,-0.17,-0.89,1
32.3,31.0,80.0,-0.59,-0.16,-0.89,1
32.3,31.0,80.0,-0.9,-0.38,-0.12,0
32.3,31.0,80.0,-0.94,-0.32,-0.25,0
32.3,31.0,80.0,-0.97,-0.31,-0.33,0
32.3,31.0,80.0,-0.96,-0.25,-0.33,0
32.3,31.0,80.0,-0.93,-0.25,-0.39,0
32.3,31.0,80.0,-0.58,-0.28,-0.91,1
32.3,31.0,80.0,-0.99,-0.11,-0.36,0
32.3,31.0,80.0,-0.95,-0.11,-0.47,0
32.3,31.0,80.0,-0.91,-0.09,-0.56,1
32.3,31.0,80.0,-0.89,-0.07,-0.59,1
32.3,31.0,80.0,-0.89,-0.07,-0.62,1
32.3,31.0,80.0,-0.87,-0.05,-0.64,1
32.3,31.0,80.0,-0.85,-0.04,-0.66,1
32.3,31.0,80.0,-1.03,-0.15,-0.36,0
32.3,31.0,80.0,-0.99,0.0,-0.27,1
32.3,31.0,80.0,-1.02,-0.02,-0.2,1
32.3,31.0,80.0,-0.8,0.08,-0.27,1
32.3,31.0,80.0,-0.97,0.02,-0.32,1
32.3,31.0,80.0,-1.0,-0.05,-0.01,1
32.3,31.0,80.0,-0.43,-0.07,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.41,-0.07,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.41,-0.07,-1.01,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-0.99,1
32.3,31.0,80.0,-0.41,-0.08,-1.01,1
32.3,31.0,80.0,-0.41,-0.08,-1.01,1
32.3,31.0,80.0,-0.42,-0.08,-1.0,1
32.3,31.0,80.0,-0.42,-0.08,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.41,-0.07,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.42,-0.08,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.42,-0.08,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.41,-0.07,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.41,-0.08,-1.0,1
32.3,31.0,80.0,-0.42,-0.08,-1.0,1
32.3,31.0,80.0,-0.43,-0.07,-1.0,1
32.3,31.0,80.0,-0.44,-0.07,-1.0,1
32.3,31.0,80.0,-0.43,-0.07,-1.0,1
32.3,31.0,80.0,-0.43,-0.07,-1.0,1
32.3,31.0,80.0,-0.42,-0.07,-1.0,1
32.3,31.0,80.0,-0.43,-0.07,-0.99,1
32.3,31.0,80.0,-0.18,-0.14,-1.06,1
32.3,31.0,80.0,-0.15,-0.04,-1.08,1
32.3,31.0,80.0,-0.15,-0.05,-1.08,1
32.3,31.0,80.0,-0.14,-0.04,-1.08,1
32.3,31.0,80.0,-0.14,-0.04,-1.08,1
32.3,31.0,80.0,-0.14,-0.05,-1.07,1
32.3,31.0,80.0,-0.14,-0.04,-1.07,1
32.3,31.0,80.0,-0.14,-0.04,-1.08,1
32.3,31.0,80.0,-0.14,-0.05,-1.08,1
32.3,31.0,80.0,-0.14,-0.04,-1.07,1
32.3,31.0,80.0,-0.14,-0.04,-1.08,1
32.3,31.0,80.0,-0.14,-0.04,-1.07,1
32.3,31.0,80.0,-0.13,-0.04,-1.08,1
32.3,31.0,80.0,-0.14,-0.04,-1.08,1
32.3,31.0,80.0,-0.14,-0.04,-1.08,1
32.3,31.0,80.0,-0.17,-0.01,-1.06,1
32.3,31.0,80.0,-0.3,-0.13,-1.09,1
,31.0,80.0,-0.22,-0.09,-1.06,1
,31.0,80.0,-0.22,-0.09,-1.06,1
,31.0,80.0,-0.22,-0.09,-1.05,1
,31.0,80.0,-0.22,-0.09,-1.06,1
,31.0,80.0,-0.22,-0.09,-1.06,1
32.3,31.0,80.0,-0.31,0.0,-1.03,1
,31.0,80.0,-0.37,-0.06,-1.02,1
,31.0,80.0,-0.37,-0.06,-1.01,1
,31.0,80.0,-0.37,-0.07,-1.02,1
,31.0,80.0,-0.37,-0.06,-1.01,1
32.3,31.0,80.0,-0.32,-0.07,-1.03,1
32.3,31.0,80.0,-0.32,-0.07,-1.03,1
32.3,31.0,80.0,-0.32,-0.07,-1.04,1
32.3,31.0,80.0,-0.32,-0.07,-1.04,1
32.3,31.0,80.0,-0.32,-0.07,-1.03,1
32.3,31.0,80.0,-0.32,-0.07,-1.03,1
32.3,31.0,80.0,-0.32,-0.07,-1.04,1
32.3,31.0,80.0,-0.32,-0.07,-1.04,1
32.3,31.0,80.0,-0.32,-0.07,-1.03,1
32.3,31.0,80.0,-0.32,-0.07,-1.04,1
32.3,31.0,80.0,-0.32,-0.07,-1.03,1
32.3,31.0,80.0,-0.32,-0.07,-1.03,1
32.3,31.0,80.0,-1.0,-0.11,-0.39,0
32.3,31.0,80.0,-0.98,-0.21,-0.21,0
32.3,31.0,80.0,-0.97,-0.09,-0.52,1
32.3,31.0,80.0,-0.99,-0.19,-0.3,0
32.3,31.0,80.0,-0.98,-0.21,-0.27,0
32.3,31.0,80.0,-0.96,-0.19,-0.32,0
32.3,31.0,80.0,-0.99,-0.2,-0.32,0
32.3,31.0,80.0,-0.97,-0.2,-0.29,0
32.3,31.0,80.0,-0.99,-0.23,-0.29,0
32.3,31.0,80.0,-0.98,-0.23,-0.26,0
32.3,31.0,80.0,-0.99,-0.24,-0.25,0
32.3,31.0,80.0,-0.57,-0.14,-0.94,1
32.3,31.0,80.0,-0.54,-0.15,-0.92,1
32.3,31.0,80.0,-0.52,-0.15,-0.93,1
32.3,31.0,80.0,-0.53,-0.15,-0.94,1
32.3,31.0,80.0,-0.53,-0.16,-0.92,1
32.3,31.0,80.0,-0.53,-0.17,-0.93,1
32.3,31.0,80.0,-0.53,-0.17,-0.93,1
32.3,31.0,80.0,-0.53,-0.16,-0.93,0
32.3,31.0,80.0,-0.52,-0.17,-0.94,1
32.3,31.0,80.0,-0.52,-0.17,-0.94,1
32.3,31.0,80.0,-0.52,-0.17,-0.94,1
32.3,31.0,80.0,-0.52,-0.17,-0.94,1
32.3,31.0,80.0,-0.53,-0.17,-0.93,1
32.3,31.0,80.0,-0.52,-0.18,-0.94,1
32.3,31.0,80.0,-0.53,-0.17,-0.94,1
32.3,31.0,80.0,-0.52,-0.17,-0.94,1
32.3,31.0,80.0,-0.52,-0.17,-0.94,1
32.3,31.0,80.0,-0.53,-0.17,-0.94,1
32.4,31.0,80.0,-0.53,-0.17,-0.94,1
32.5,31.0,80.0,-0.53,-0.17,-0.93,1
32.5,31.0,80.0,-0.52,-0.17,-0.94,1
32.6,31.0,80.0,-0.64,-0.06,-0.92,1
32.6,31.0,80.0,-0.94,0.39,-0.05,0
32.7,31.0,80.0,-0.9,0.44,-0.17,0
32.8,31.0,80.0,-0.9,0.47,-0.21,0
32.8,31.0,80.0,-0.91,0.48,-0.25,0
32.8,31.0,80.0,-0.87,0.48,-0.26,0
32.8,31.0,80.0,-0.87,0.5,-0.28,0
32.8,31.0,80.0,-0.87,0.5,-0.27,0
32.8,31.0,80.0,-0.83,0.51,-0.28,0
32.8,31.0,80.0,-0.83,0.51,-0.36,0
32.8,31.0,80.0,-0.67,0.12,-0.83,1
32.8,31.0,80.0,-0.86,-0.62,-0.33,0
32.8,31.0,80.0,-0.36,-0.94,-0.08,1
32.8,31.0,80.0,-0.45,-0.88,-0.27,1
32.8,31.0,80.0,-0.49,-0.85,-0.35,1
32.8,31.0,80.0,-0.5,-0.82,-0.37,1
32.8,31.0,80.0,-0.55,-0.77,-0.41,1
32.8,31.0,80.0,-0.53,-0.3,-0.9,1
32.8,31.0,80.0,-0.36,-0.74,-0.48,1
32.8,31.0,80.0,-0.58,-0.65,-0.56,1
32.8,31.0,80.0,-0.6,-0.68,-0.53,1
32.8,31.0,80.0,-0.59,-0.69,-0.55,1
32.8,31.0,80.0,-0.58,-0.69,-0.55,1
32.8,31.0,80.0,-0.47,-0.88,-0.2,1
32.8,31.0,80.0,-0.48,-0.88,-0.21,1
32.8,31.0,80.0,-0.5,-0.85,-0.25,1
32.8,31.0,80.0,-0.5,-0.28,-0.93,1
32.8,31.0,80.0,-0.79,-0.5,0.02,0
32.8,31.0,80.0,-0.85,-0.56,-0.0,0
32.8,31.0,80.0,-0.82,-0.54,-0.04,0
32.8,31.0,80.0,-0.83,-0.57,-0.05,0
32.8,31.0,80.0,-0.83,-0.55,-0.09,0
32.8,31.0,80.0,-0.5,-0.09,-0.94,1
32.8,31.0,80.0,-0.47,0.02,-0.98,1
32.8,31.0,80.0,-0.46,0.05,-0.99,1
32.8,31.0,80.0,-0.46,0.07,-0.98,1
32.8,31.0,80.0,-0.45,0.08,-0.99,1
32.8,31.0,80.0,-0.44,0.08,-0.99,1
32.8,31.0,80.0,-0.45,0.09,-0.99,1
32.8,31.0,80.0,-0.44,0.09,-0.99,1
32.8,31.0,80.0,-0.44,0.1,-0.99,1
32.8,31.0,80.0,-0.44,0.11,-0.99,1
32.8,31.0,80.0,-0.44,0.11,-0.99,1
32.8,31.0,80.0,-0.44,0.11,-0.99,1
32.8,31.0,80.0,-0.43,0.11,-0.99,1
32.8,31.0,80.0,-0.43,0.11,-0.99,1
32.8,31.0,80.0,-0.43,0.11,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.13,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.12,-0.99,1
32.8,31.0,80.0,-0.43,0.13,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.13,-0.99,1
32.8,31.0,80.0,-0.42,0.13,-1.0,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.13,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.13,-0.99,1
32.8,31.0,80.0,-0.42,0.13,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.4,0.16,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-1.0,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.43,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-1.0,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.16,-0.98,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.16,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.98,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.16,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.42,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.14,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-1.0,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
32.8,31.0,80.0,-0.41,0.16,-0.99,1
32.8,31.0,80.0,-0.42,0.16,-0.99,1
32.8,31.0,80.0,-0.42,0.16,-0.99,1
32.8,31.0,80.0,-0.41,0.15,-0.99,1
